pruid,prname,date,numconf,numtotal,numtoday
47,Saskatchewan,4/1/2020,193,193,9
46,Manitoba,4/1/2020,109,127,24
35,Ontario,4/1/2020,2392,2392,426
24,Quebec,4/1/2020,4611,4611,449
10,Newfoundland and Labrador,4/1/2020,175,175,23
13,New Brunswick,4/1/2020,81,81,11
12,Nova Scotia,4/1/2020,173,173,26
11,Prince Edward Island,4/1/2020,21,21,0
60,Yukon,4/1/2020,5,5,0
61,Northwest Territories,4/1/2020,2,2,1
62,Nunavut,4/1/2020,0,0,0
99,Repatriated travellers,4/1/2020,13,13,0
1,Canada,4/1/2020,9595,9613,1065
59,British Columbia,4/2/2020,1121,1121,55
48,Alberta,4/2/2020,968,968,214
47,Saskatchewan,4/2/2020,206,206,13
46,Manitoba,4/2/2020,152,167,40
35,Ontario,4/2/2020,2793,2793,401
24,Quebec,4/2/2020,5518,5518,907
10,Newfoundland and Labrador,4/2/2020,183,183,8
13,New Brunswick,4/2/2020,91,91,10
12,Nova Scotia,4/2/2020,193,193,20
11,Prince Edward Island,4/2/2020,22,22,1
60,Yukon,4/2/2020,6,6,1
61,Northwest Territories,4/2/2020,2,2,0
62,Nunavut,4/2/2020,0,0,0
99,Repatriated travellers,4/2/2020,13,13,0
1,Canada,4/2/2020,11268,11283,1670
59,British Columbia,4/3/2020,1174,1174,53
48,Alberta,4/3/2020,1075,1075,107
47,Saskatchewan,4/3/2020,220,220,14
46,Manitoba,4/3/2020,164,182,15
35,Ontario,4/3/2020,3255,3255,462
24,Quebec,4/3/2020,6101,6101,583
10,Newfoundland and Labrador,4/3/2020,183,183,0
13,New Brunswick,4/3/2020,95,95,4
12,Nova Scotia,4/3/2020,207,207,14
11,Prince Edward Island,4/3/2020,22,22,0
60,Yukon,4/3/2020,6,6,0
61,Northwest Territories,4/3/2020,4,4,2
62,Nunavut,4/3/2020,0,0,0
99,Repatriated travellers,4/3/2020,13,13,0
1,Canada,4/3/2020,12519,12537,1254
59,British Columbia,4/4/2020,1203,1203,29
48,Alberta,4/4/2020,1075,1075,0
47,Saskatchewan,4/4/2020,231,231,11
46,Manitoba,4/4/2020,172,194,12
35,Ontario,4/4/2020,3630,3630,375
24,Quebec,4/4/2020,6997,6997,896
10,Newfoundland and Labrador,4/4/2020,195,195,12
13,New Brunswick,4/4/2020,98,98,3
12,Nova Scotia,4/4/2020,236,236,29
11,Prince Edward Island,4/4/2020,22,22,0
60,Yukon,4/4/2020,6,6,0
61,Northwest Territories,4/4/2020,4,4,0
62,Nunavut,4/4/2020,0,0,0
99,Repatriated travellers,4/4/2020,13,13,0
1,Canada,4/4/2020,13882,13904,1367
59,British Columbia,4/5/2020,1203,1203,0
